78	teacher_7222714
9	teacher_266931
67	teacher_3493459
7	teacher_7999972
26	teacher_3528507
19	teacher_960836
1	teacher_1279231
8	teacher_1267319
79	teacher_59792
56	teacher_1570052
82	teacher_7252205
76	teacher_6118730
76	teacher_5517304
88	teacher_5249352
31	teacher_3151426
61	teacher_7191736
71	teacher_4792025
71	teacher_6005179
10	teacher_1536559
97	teacher_3763144
64	teacher_7954001
90	teacher_5281387
92	teacher_4986580
98	teacher_7416771
82	teacher_1949419
97	teacher_1150072
15	teacher_6000712
23	teacher_4029306
57	teacher_3225211
94	teacher_3775331
95	teacher_1019581
63	teacher_6940703
79	teacher_5378317
81	teacher_1527031
6	teacher_5089225
67	teacher_5006791
93	teacher_2429439
71	teacher_3058655
82	teacher_2190024
69	teacher_4753283
35	teacher_7465270
60	teacher_6752972
7	teacher_5405286
23	teacher_268065
12	teacher_2577014
4	teacher_5968968
75	teacher_3422529
58	teacher_2786955
98	teacher_2424531
66	teacher_7407396
96	teacher_2662835
42	teacher_1622722
21	teacher_4316236
10	teacher_2120579
28	teacher_250550
47	teacher_2854015
6	teacher_1807742
38	teacher_2054281
91	teacher_6636521
12	teacher_7246959
42	teacher_4612478
20	teacher_4967596
5	teacher_4532407
5	teacher_2738962
89	teacher_554952
2	teacher_1032349
54	teacher_563359
8	teacher_3652152
79	teacher_1050717
65	teacher_969947
4	teacher_5773463
32	teacher_1250847
66	teacher_5262321
49	teacher_788957
9	teacher_7360402
85	teacher_5443636
39	teacher_7647817
66	teacher_7688930
47	teacher_2429481
96	teacher_6878573
38	teacher_3031723
73	teacher_6493534
73	teacher_7195999
99	teacher_5058120
91	teacher_441463
90	teacher_969483
59	teacher_4216965
65	teacher_5309547
40	teacher_3466204
10	teacher_936594
21	teacher_5839428
31	teacher_2901471
77	teacher_1893549
37	teacher_3767005
65	teacher_4319937
35	teacher_9203
64	teacher_6299993
13	teacher_3521794
31	teacher_7978211
7	teacher_2521010
