1600000	4.1
1600001	2.9
1600002	2.4
1600003	4.9
1600004	3.6
1600005	2.1
1600006	3.7
1600007	2.7
1600008	2.3
1600009	4.8
1600010	3.6
1600011	2.0
1600012	4.4
1600013	2.3
1600014	4.8
1600015	4.8
1600016	4.7
1600017	2.6
1600018	2.7
1600019	4.5
1600020	2.5
1600021	3.5
1600022	3.7
1600023	3.5
1600024	2.5
1600025	4.7
1600026	2.4
1600027	2.9
1600028	4.9
1600029	4.4
1600030	3.4
1600031	4.2
1600032	3.5
1600033	2.5
1600034	3.3
1600035	3.7
1600036	3.8
1600037	4.1
1600038	2.5
1600039	4.8
1600040	2.9
1600041	2.7
1600042	3.8
1600043	3.0
1600044	4.8
1600045	4.1
1600046	4.5
1600047	4.1
1600048	4.6
1600049	3.7
1600050	4.8
1600051	3.7
1600052	4.0
1600053	4.7
1600054	3.9
1600055	2.2
1600056	2.8
1600057	4.1
1600058	2.5
1600059	3.5
1600060	3.6
1600061	2.5
1600062	4.5
1600063	3.0
1600064	3.9
1600065	2.9
1600066	3.1
1600067	4.6
1600068	2.6
1600069	2.8
1600070	4.2
1600071	2.1
1600072	2.5
1600073	3.0
1600074	2.0
1600075	4.9
1600076	3.5
1600077	2.3
1600078	4.6
1600079	3.0
1600080	3.8
1600081	3.0
1600082	3.6
1600083	2.1
1600084	2.7
1600085	2.7
1600086	4.2
1600087	4.3
1600088	4.7
1600089	3.8
1600090	4.1
1600091	3.2
1600092	2.7
1600093	3.7
1600094	3.2
1600095	2.4
1600096	3.0
1600097	2.7
1600098	2.7
1600099	3.3
1600100	4.6
1600101	3.7
1600102	4.5
1600103	2.1
1600104	2.5
1600105	2.8
1600106	3.1
1600107	3.1
1600108	4.8
1600109	3.0
1600110	4.8
1600111	4.6
1600112	2.8
1600113	2.2
1600114	3.3
1600115	4.5
1600116	3.9
1600117	3.9
1600118	2.5
1600119	3.0
1600120	2.3
1600121	2.3
1600122	4.7
1600123	2.2
1600124	2.6
1600125	2.3
1600126	3.4
1600127	4.9
1600128	4.2
1600129	4.2
1600130	2.6
1600131	4.7
1600132	4.5
1600133	4.7
1600134	2.8
1600135	3.2
1600136	3.4
1600137	2.1
1600138	3.8
1600139	4.7
1600140	4.2
1600141	2.7
1600142	4.1
1600143	2.2
1600144	2.1
1600145	3.2
1600146	3.8
1600147	3.4
1600148	3.3
1600149	3.2
1600150	2.7
1600151	3.2
1600152	3.3
1600153	3.3
1600154	4.6
1600155	2.3
1600156	3.4
1600157	2.7
1600158	2.4
1600159	4.3
1600160	4.7
1600161	3.7
1600162	4.2
1600163	3.9
1600164	3.5
1600165	4.5
1600166	4.6
1600167	2.7
1600168	4.8
1600169	3.6
1600170	3.0
1600171	4.1
1600172	2.2
1600173	2.9
1600174	4.5
1600175	4.9
1600176	4.6
1600177	4.2
1600178	3.5
1600179	2.8
1600180	2.2
1600181	3.8
1600182	2.5
1600183	2.8
1600184	3.8
1600185	3.3
1600186	3.7
1600187	2.0
1600188	2.5
1600189	3.6
1600190	4.1
1600191	4.9
1600192	2.4
1600193	2.1
1600194	2.5
1600195	4.8
1600196	4.1
1600197	4.4
1600198	3.9
1600199	4.3
1600200	4.6
1600201	3.5
1600202	2.9
1600203	4.9
1600204	4.3
1600205	2.5
1600206	3.1
1600207	3.8
1600208	4.9
1600209	4.9
1600210	4.9
1600211	3.4
1600212	3.0
1600213	2.6
1600214	3.0
1600215	3.3
1600216	3.9
1600217	2.8
1600218	2.4
1600219	2.8
1600220	2.4
1600221	2.6
1600222	2.1
1600223	4.9
1600224	3.0
1600225	2.9
1600226	3.4
1600227	4.5
1600228	2.4
1600229	4.3
1600230	3.2
1600231	4.7
1600232	4.6
1600233	3.5
1600234	4.7
1600235	3.4
1600236	4.0
1600237	2.6
1600238	3.8
1600239	3.2
1600240	3.5
1600241	4.5
1600242	3.7
1600243	4.8
1600244	3.1
1600245	2.4
1600246	2.1
1600247	4.0
1600248	3.7
1600249	4.3
1600250	2.0
1600251	4.6
1600252	4.9
1600253	2.0
1600254	3.5
1600255	4.4
1600256	2.0
1600257	4.6
1600258	4.0
1600259	3.9
1600260	4.9
1600261	4.7
1600262	2.9
1600263	3.3
1600264	4.7
1600265	3.4
1600266	4.9
1600267	2.8
1600268	4.4
1600269	3.6
1600270	4.9
1600271	2.4
1600272	4.8
1600273	3.5
1600274	3.2
1600275	4.1
1600276	2.6
1600277	2.3
1600278	3.8
1600279	3.6
1600280	2.9
1600281	3.3
1600282	2.3
1600283	2.9
1600284	3.7
1600285	2.9
1600286	4.1
1600287	2.0
1600288	4.6
1600289	4.8
1600290	4.4
1600291	3.5
1600292	3.6
1600293	4.3
1600294	4.1
1600295	4.4
1600296	2.0
1600297	2.3
1600298	4.7
1600299	4.1
1600300	3.8
1600301	4.9
1600302	3.5
1600303	2.7
1600304	3.3
1600305	2.6
1600306	3.8
1600307	3.3
1600308	3.3
1600309	2.6
1600310	3.5
1600311	3.2
1600312	2.1
1600313	3.5
1600314	4.6
1600315	4.6
1600316	4.6
1600317	2.2
1600318	3.6
1600319	4.2
1600320	4.0
1600321	3.8
1600322	4.9
1600323	4.0
1600324	2.3
1600325	4.8
1600326	3.6
1600327	3.8
1600328	3.0
1600329	3.2
1600330	2.9
1600331	2.6
1600332	4.9
1600333	4.6
1600334	4.9
1600335	3.8
1600336	4.6
1600337	4.7
1600338	3.0
1600339	2.5
1600340	4.2
1600341	2.0
1600342	2.7
1600343	4.3
1600344	2.3
1600345	2.6
1600346	2.4
1600347	4.9
1600348	2.5
1600349	4.7
1600350	4.1
1600351	2.2
1600352	3.3
1600353	4.2
1600354	3.8
1600355	3.7
1600356	4.9
1600357	4.9
1600358	4.9
1600359	2.2
1600360	3.7
1600361	4.4
1600362	3.2
1600363	4.1
1600364	3.6
1600365	4.1
1600366	3.5
1600367	4.6
1600368	3.5
1600369	4.7
1600370	2.6
1600371	4.9
1600372	2.6
1600373	4.3
1600374	2.5
1600375	4.5
1600376	2.6
1600377	4.6
1600378	3.8
1600379	3.6
1600380	2.4
1600381	4.1
1600382	3.7
1600383	2.3
1600384	2.4
1600385	4.3
1600386	4.6
1600387	3.5
1600388	4.4
1600389	4.8
1600390	4.0
1600391	2.1
1600392	2.0
1600393	2.1
1600394	4.3
1600395	3.4
1600396	3.6
1600397	4.2
1600398	3.3
1600399	2.6
1600400	2.3
1600401	3.9
1600402	2.7
1600403	3.5
1600404	4.0
1600405	2.6
1600406	2.0
1600407	3.8
1600408	3.0
1600409	2.1
1600410	3.2
1600411	2.6
1600412	4.8
1600413	4.2
1600414	2.2
1600415	4.4
1600416	4.6
1600417	3.2
1600418	2.0
1600419	2.9
1600420	3.4
1600421	4.7
1600422	3.8
1600423	3.4
1600424	4.9
1600425	3.6
1600426	4.9
1600427	2.8
1600428	4.8
1600429	4.8
1600430	3.8
